Sn,CODE,Department ,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
412,SC 111,Electrical Engineering ,Dual,2,2009,Mumbai ,India,Director ,Entropy Innovations Pvt Ltd ,Founded business in manufacturing of automated two wheeler washing machine.Developed this product and marketed the service across different B2C and B2B verticals,,
413,SC 112,EE,Dual,7,2014,Vadodara,India,Associate,Clinton Health Access Initiative,"Associate at Clinton Health Access Initiative with a wok profile in Public Health, Non Profit, Technology, Product Design, Program Management",,
414,SC 113,CIVIL,B.Tech,9,2005,MUMBAI,INDIA,dgm,RELIANCE INFRA - MUMBAI METRO,"DGM at RELIANCE INFRA - MUMBAI METRO.Sectors Worked: Infrastructure Development (Railways & Metro), Oil & Gas, Agriculture, Land Acquisition
Domain of work: Contract Management, Claims & Arbitration, Project Execution/ Implementation Strategy, Policy Advocacy, Business Consulting, New Business Development, Operation & Financial Management, AOP & Budget (development & control), Planning.
Specialties: General Management, Corporate Strategy, Project Planning & Implementation, Cost Optimization",,
415,SC 114,ELECTRICAL,B.Tech,H8,1985,PUNE,INDIA,PRINCIPLE CONSULTANT,VALUE ADD SERVICES,"Principal Consultant at VALUE ADD SERVICES. 22+ years of experience mainly in Industrial products and B to B marketing.
Experience in large Industrial corporates as well as some experience in the middle east. Expert in Marketing of Industrial products",,
416,SC 115,Metallurgical engineering,Dual,H13,2008,Mumbai,India,Chief Manager,Polycab wires,"Corporate and business strategy; Earlier, Consultant - Economic and Financial consulting at FTI Consulting",,
417,SC 116,Elect Engg,B.Tech,6,1967,Mumbai,India,Partner,TRIITON Mentors and Advisors,"Mentor and Business Strategy Advisor to start ups and medium sized companies.Member of Board in Talentica Software(Pune),Cytel Statistical Software & Services Pvt. Ltd(Pune) and ICON Capital Partners Dubai.Former Director & Partner in Triiton Mentors & Advisors,Mumbai.",,
418,SC 117,EE,M.Tech,H1,2002,Bangalore,India,Senior Specialist,GE,"Analytics & consulting experience in Computer/Electrical & Electronics domain. Leading a dedicated team of analysts working in IP, technology, competitive & preliminary market analytics for Healthcare vertical (Life Sciences, Imaging Modalities, Image Analytics, Healthcare Digital)",,
419,SC 118,Chemical Engg,B.Tech,H4,1998,Bangalore,India,Founder,IntelliSell,Founder at IntelliSell. Helps organizations achieve their potential by taking a deliberate approach to every sales related activity.,,
420,SC 119,Aerospace engineering,M.Tech,Nil,2000,Navi Mumbai,India,VP operations,GI E Smartcargos,Head Of Supply Chain at GI Smart E Cargos Private Ltd. Been the Vice President of Allcargo Logistics Ltd. Deals with Logistics,,
421,SC 120,electrical,B.Tech,H7,2003,Hyderabad,Hyderabad,Director,Fresenius Medical Care,Growing the dialysis clinics footprint across India by partnering with hospitals,,
422,SC 121,Mechnical Engineering,Dual,"H-13, H-3",2011,Bangalore,India,Associate Director,Ola (ANI Tech Pvt Ltd),"Associate Director at Ola. Corporate Development & Strategy - M&A, Fund-raising, Investments, Strategic Partnerships & Corporate Strategy. ",,
423,SC 122,Chemical,Dual,H-13,2008,Mumbai,India,Vice President ,InI Consulting,"Vice President at InI Consulting.10 years of diverse work experience in management & strategy consulting firm. Passion lies in the confluence of Technology + Business + Strategy. Assisted numerous multinational companies in developing their India Entry Strategy plans and served clients on sectors spanning strategy, operations, sales and financial functions. Worked in wide ranging sectors like automotive, infrastructure, agri-business, industrial applications, engineering, and exports. ",,
424,SC 123,Engineering Physics ,B.Tech,8,2016,Mumbai,India,Business Analyst,Monitor Deloitte ,"Currently working as a strategy consultant at Monitor Deloitte. With Monitor, worked with MNCs and conglomerates on assignments in the consumer durables, logistics and automobile industries and has experience in sales transformation, growth strategy, digital strategy and go-to-market strategy.",,
425,SC 124,IE&OR,M.Tech,7,1981,Mumbai,India,Retired,Private consulting,"Author and Consultant (Process and Productivity Improvement).  Bring in more than 3 decades of IT Industry experience in Mergers, Project Management, MIS, Process Improvement, Automation, IT Enablement, HR Systems & Policies, Employee Engagement, Rewards & Motivation, Career Counselling and Training. Worldwide head of HR for an IT company with about 15000 employes. ",,
426,SC 125,Chemistry,Integrated M.Sc. in Chemistry,4,2009,Mumbai,India,Founder & Managing Partner,MNS Legal,"Providing Legal, Financial and Intellectual Property consultancy services to clients on various issues. Experience in working with IP consultancy Companies and Law Firms before setting up my own Firm MNS Legal.",,
427,SC 126,Mechanical,B.Tech,2,1987,Mumbai,India,CEO - India and Asia ,MedGenome Labs,"Group CEO at Oncquest Labs +DCA Imaging
CEO at Beams Hospitals Private Limited
Director RSD at Thermo Fisher Scientific India Private Limited
President and CEO at  Piramal Diagnostic Services Private Limited",,
428,SC 127,Metallurgy,B.Tech,4,1985,Pune/Mira Road (Mumbai),India,Vice President,Permanent Magnets Limited,"Worked in all departments of manufacturing companies and almost all departments of SoftwareCompany; Product / Process Development, Marketing/Sales, Business, was the Vice President of Pregna International Limited and the Project Manager of Yardi Software India Pvt Ltd",,
429,SC 128,School of Management,Master of Management,NA,2004,Thane,India,Founder & CEO,Shiv Sulphuric Solutions (OPC) Pvt Ltd,"Founder and CEO of Shiv Sulphuric Solutions (OPC) Pvt Ltd, Former head-Sales and Marketing at VA Tech Wabag Ltd, was a President(bussiness development-India & NC)in Power,solar etc at Abengoa SA,Indian Office Mumbai.",,
